BaldwinB,BaldwinG,BaldwinR,NovaB,NovaG,NovaR,VansB,VansG,VansR,number,ppm
235,245,228,235,240,231,253,255,241,8,6
236,247,231,233,238,229,251,254,239,9,6
238,248,231,244,247,238,254,254,242,1,8
226,238,216,224,227,218,241,246,225,2,8
255,255,234,237,240,231,250,254,235,3,8
128,128,128,128,128,128,128,128,128,4,8
225,234,214,226,227,218,240,246,223,5,8
225,235,218,232,235,226,251,255,236,6,8
238,248,231,243,246,237,255,255,243,7,8
235,246,226,239,240,231,252,253,237,8,8
234,242,225,232,234,228,247,253,234,9,8
239,251,233,240,244,238,255,255,248,1,10
228,240,222,231,233,227,248,253,232,2,10
236,246,229,233,235,229,255,255,244,3,10
239,249,232,243,245,239,254,253,243,4,10
221,232,212,224,226,220,236,243,222,5,10
233,244,228,224,228,223,250,255,239,6,10
240,250,233,240,241,237,255,255,243,7,10
235,245,228,232,236,230,255,255,243,8,10
234,244,227,234,238,232,253,253,241,9,10
239,252,236,237,243,238,253,254,244,1,12
226,241,220,227,231,226,244,253,233,2,12
231,245,227,233,237,232,254,255,242,3,12
238,252,234,238,242,237,254,255,245,4,12
215,229,211,216,222,217,233,242,222,5,12
232,246,228,231,236,234,245,254,234,6,12
239,252,236,240,246,241,254,255,244,7,12
232,244,226,233,239,234,249,254,239,8,12
231,243,225,230,236,231,249,254,239,9,12
243,255,239,241,244,242,251,252,243,1,14
225,239,221,224,227,225,241,250,230,2,14
251,247,223,234,238,233,255,253,231,3,14
128,128,128,239,242,240,128,128,128,4,14
221,236,215,217,220,218,237,243,224,5,14
236,248,230,233,237,232,251,255,240,6,14
238,252,234,244,245,243,255,254,244,7,14
238,249,233,229,232,230,249,255,238,8,14
243,255,252,233,235,235,248,253,238,9,14
239,251,233,238,240,240,255,255,245,1,16
230,239,226,228,236,219,237,241,235,2,16
236,248,230,234,236,236,250,254,242,3,16
241,253,235,239,239,239,253,254,244,4,16
221,235,211,222,224,225,237,248,222,5,16
232,245,229,229,231,231,249,255,238,6,16
238,250,232,243,243,243,255,254,244,7,16
235,247,229,233,233,233,250,255,240,8,16
236,248,230,234,236,236,254,255,245,9,16
239,252,236,239,242,240,255,255,248,1,18
230,244,226,229,232,230,248,255,239,2,18
237,249,231,238,241,239,255,255,246,3,18
240,253,237,243,246,244,255,255,247,4,18
218,233,212,227,232,230,234,241,220,5,18
230,242,224,236,239,237,251,255,240,6,18
240,253,237,241,246,244,255,255,248,7,18
235,249,231,232,235,233,253,255,245,8,18
235,246,230,244,249,247,252,255,240,9,18
238,250,232,237,240,238,253,255,249,1,20
230,242,222,226,229,227,234,248,230,2,20
231,247,229,227,232,231,248,255,246,3,20
242,253,237,240,243,241,249,252,243,4,20
222,234,214,220,221,219,221,236,215,5,20
230,244,226,228,231,229,235,248,232,6,20
240,251,235,239,242,240,250,252,246,7,20
235,247,229,233,236,234,247,255,244,8,20
233,246,230,231,233,233,244,253,240,9,20
243,251,234,240,241,239,255,255,243,1,25
231,242,222,228,229,227,246,251,230,2,25
242,250,233,236,236,236,255,255,244,3,25
244,252,235,243,244,242,255,254,244,4,25
229,238,218,220,220,220,239,245,226,5,25
235,245,228,232,231,233,250,253,237,6,25
244,254,237,242,242,242,255,255,247,7,25
236,246,229,235,236,234,253,253,241,8,25
238,249,229,233,234,232,255,255,241,9,25
